asn,handle,description
354,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
355,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
356,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
357,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
358,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
359,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
360,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
361,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
362,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
363,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
364,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
365,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
366,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
367,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
368,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
369,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
370,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
371,DNIC-ASBLK-00306-00371,"United States Department of Defense (DoD)"
372,AS372,"National Aeronautics and Space Administration"
373,MITRE-AS-4,"The MITRE Corporation"
374,BROOKS-AS,"Air Force Systems Networking"
375,TIETOTIE-AS,"Tietoevry Oyj"
376,RISQ-AS,"Reseau d'Informations Scientifiques du Quebec (RISQ Inc.)"
377,SNLA-NET-AS,"Sandia National Laboratories"
378,MACHBA-AS,"IUCC - Israel InterUniversity Computation Center"
379,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
380,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
381,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
382,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
383,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
384,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
385,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
386,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
387,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
388,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
389,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
390,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
391,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
392,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
393,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
394,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
395,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
396,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
397,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
398,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
399,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
